lcbm,sxxbm,ysfsbm,lcdm,cc,sfzt,lcyn
770,NULL,1,L745,L745,1,#N/A
771,NULL,1,L747,L747,1,#N/A
556,NULL,1,L75,L75,1,#N/A
772,NULL,1,L775,L775,1,#N/A
533,NULL,1,L778,L778,1,#N/A
733,NULL,1,L791,L791,1,#N/A
463,NULL,1,L794,L794,1,#N/A
378,NULL,1,L795,L795,1,#N/A
566,NULL,1,L8,L8,1,#N/A
538,NULL,1,L842,L842,1,#N/A
539,NULL,1,L856,L856,1,#N/A
567,NULL,1,L87,L87,1,#N/A
720,NULL,1,L874,L874,1,#N/A
721,NULL,1,L914,L914,1,#N/A
493,NULL,1,L92,L92,1,#N/A
359,NULL,1,L935,L935,1,#N/A
633,NULL,1,L938,L938,1,#N/A
557,NULL,1,L945,L945,1,#N/A
631,NULL,1,L955,L955,1,#N/A
540,NULL,1,L96,L96,1,#N/A
521,NULL,1,L966,L966,1,#N/A
482,NULL,1,L973,L973,1,#N/A
675,NULL,1,L976,L976,1,#N/A
518,NULL,1,L995,L995,1,#N/A
461,NULL,1,N748,N748,1,#N/A
49,NULL,1,T10,T10,1,1587
683,NULL,1,T126,T126,1,1773
494,NULL,1,T150,T150,1,#N/A
684,NULL,1,T248,T248,1,1432
627,NULL,1,T252,T252,1,#N/A
628,NULL,1,T258,T258,1,1667
685,NULL,1,T294,T294,1,#N/A
483,NULL,1,T58,T58,1,#N/A
20,NULL,1,T7,T7,1,1566
23,NULL,1,T8,T8,1,1522
388,NULL,1,T88,T88,1,#N/A
50,NULL,1,T9,T9,2,1569
366,NULL,1,Y102,Y102,1,#N/A
360,NULL,1,Y115,Y115,1,#N/A
558,NULL,1,Y118,Y118,1,#N/A
559,NULL,1,Y132,Y132,1,#N/A
560,NULL,1,Y133,Y133,1,#N/A
634,NULL,1,Y136,Y136,1,#N/A
367,NULL,1,Y152,Y152,1,#N/A
480,NULL,1,Y153,Y153,1,#N/A
773,NULL,1,Y205,Y205,1,#N/A
519,NULL,1,Z124,Z124,1,891
79,NULL,1,Z149,Z149,2,1119
80,NULL,1,Z150,Z150,2,1131
81,NULL,1,Z161,Z161,2,1503
82,NULL,1,Z162,Z162,2,1460
370,NULL,1,Z257,Z257,1,532
371,NULL,1,Z258,Z258,1,714
368,NULL,1,Z3,Z3,1,1858
369,NULL,1,Z4,Z4,1,#N/A
18,NULL,1,Z49,Z49,2,874
11,NULL,1,Z50,Z50,1,957
83,NULL,1,Z53,Z53,2,1424
84,NULL,1,Z54,Z54,2,1423
85,NULL,1,Z77,Z77,2,1444
86,NULL,1,Z78,Z78,2,1461
1,NULL,1,Z95,Z95,1,1683
2,NULL,1,Z96,Z96,1,1577
