zdid,,,lxid,,,ysfsbm,zdmc,,,,sfty,,station_code,station_telecode,station_shortname,
53,NULL,NULL,1,NULL,NULL,1,大厂县    ,NULL,NULL,NULL,0,NULL,11117,REP,大,NULL
54,NULL,NULL,1,NULL,NULL,1,三平      ,NULL,NULL,NULL,0,NULL,11120,OWP,三,NULL
55,NULL,NULL,1,NULL,NULL,1,三河县    ,NULL,NULL,NULL,0,NULL,11123,OXP,三,NULL
56,NULL,NULL,1,NULL,NULL,1,段甲岭    ,NULL,NULL,NULL,0,NULL,11126,RJP,段,NULL
57,NULL,NULL,1,NULL,NULL,1,蓟县南    ,NULL,NULL,NULL,0,NULL,11132,JIP,蓟,NULL
58,NULL,NULL,1,NULL,NULL,1,别山      ,NULL,NULL,NULL,0,NULL,11138,BSP,别,NULL
59,NULL,NULL,1,NULL,NULL,1,螺山      ,NULL,NULL,NULL,0,NULL,11141,LSP,螺,NULL
60,NULL,NULL,1,NULL,NULL,1,玉田县    ,NULL,NULL,NULL,0,NULL,11147,ATP,玉,NULL
61,NULL,NULL,1,NULL,NULL,1,富庄子    ,NULL,NULL,NULL,0,NULL,11153,FIP,富,NULL
62,NULL,NULL,1,NULL,NULL,1,唐山北    ,NULL,NULL,NULL,0,NULL,11159,FUP,唐,NULL
63,NULL,NULL,1,NULL,NULL,1,狼窝铺    ,NULL,NULL,NULL,0,NULL,11186,UOP,狼,NULL
64,NULL,NULL,1,NULL,NULL,1,沙子河    ,NULL,NULL,NULL,0,NULL,11189,OPP,沙,NULL
65,NULL,NULL,1,NULL,NULL,1,马铺营    ,NULL,NULL,NULL,0,NULL,11192,MPP,马,NULL
66,NULL,NULL,1,NULL,NULL,1,迁安      ,NULL,NULL,NULL,0,NULL,11198,QQP,迁,NULL
67,NULL,NULL,1,NULL,NULL,1,卢龙      ,NULL,NULL,NULL,0,NULL,11210,UAP,卢,NULL
68,NULL,NULL,1,NULL,NULL,1,抚宁      ,NULL,NULL,NULL,0,NULL,11219,FNP,抚,NULL
69,NULL,NULL,1,NULL,NULL,1,双桥      ,NULL,NULL,NULL,0,NULL,11333,SQP,双,NULL
70,NULL,NULL,1,NULL,NULL,1,通州西    ,NULL,NULL,NULL,0,NULL,11354,TAP,通,NULL
71,NULL,NULL,1,NULL,NULL,1,张辛      ,NULL,NULL,NULL,0,NULL,11363,ZIP,张,NULL
72,NULL,NULL,1,NULL,NULL,1,顺义      ,NULL,NULL,NULL,0,NULL,11366,SOP,顺,NULL
73,NULL,NULL,1,NULL,NULL,1,高各庄    ,NULL,NULL,NULL,0,NULL,11372,GGP,高,NULL
74,NULL,NULL,1,NULL,NULL,1,庙城      ,NULL,NULL,NULL,0,NULL,11375,MAP,庙,NULL
75,NULL,NULL,1,NULL,NULL,1,怀柔      ,NULL,NULL,NULL,0,NULL,11378,HRP,怀,NULL
76,NULL,NULL,1,NULL,NULL,1,统军庄    ,NULL,NULL,NULL,0,NULL,11381,TZP,统,NULL
